Drug Trials Snapshots | FDA,,,,
Brand Name (Drug Trials Snapshot),Drug Name,Original Date of FDA Approval,FDA Approved Use on Original Approval Date*,Brand Name (Prescribing Information)
NEMLUVIO,nemolizumab-ilto,"August 12, 2024",To treat prurigo nodularis,Nemluvio
YORVIPATH,palopegteriparatide,"August 9, 2024",To treat hypoparathyroidism,Yorvipath
IZERVAY,avacincaptad pegol intravitreal solution,"August 4, 2023",To treat geographic atrophy secondary to age-related macular degeneration,Izervay
PIASKY,crovalimab-akkz,"June 20, 2024",Treatment of paroxysmal nocturnal hemoglobinuria,Piasky
XOLREMDI,mavorixafor,"April 26, 2024","For the treatment of adults and adolescents over the age of 12 years with WHIM (Warts, Hypogammaglobulinemia, Infection, and Myelokathexis) syndrome",Xolremdi
ZEVTERA,ceftobiprole medocaril sodium for injection,"April 3, 2024","Treatment of certain bloodstream infections, bacterial skin and associated tissue infections, and community-acquired bacterial pneumonia",Zevtera
VOYDEYA,danicopan,"March 29, 2024",To treat extravascular hemolysis with paroxysmal nocturnal hemoglobinuria,Voydeya
WINREVAIR,sotatercept-csrk,"March 26, 2024",For the treatment of adults with pulmonary arterial hypertension,Winrevair
DUVYZAT,givinostat,"March 21, 2024",Treatment of Duchenne muscular dystrophy in individuals aged 6 years and older,Duvyzat
TEVIMBRA,tislelizumab-jsgr,"March 14, 2024",To treat unresectable or metastatic esophageal squamous cell carcinoma,Tevimbra
LETYBO,letibotulinumtoxinA,"February 29, 2024",To temporarily improve the appearance of moderate-to-severe glabellar lines,Letybo
EXBLIFEP,cefepime and enmetazobactam,"February 22, 2024",For the treatment of patients 18 years and older with complicated urinary tract infections (cUTI),Exblifep
ZELSUVMI,berdazimer,"January 5, 2024",Treatment of molluscum contagiosum,Zelsuvmi 
WAINUA,eplontersen,"December 21, 2023",To treat polyneuropathy of hereditary transthyretin-mediated amyloidosis,Wainua
FILSUVEZ,birch triterpenes,"December 18, 2023",To treat wounds associated with dystrophic and junctional epidermolysis bullosa,Filsuvez
XENOVIEW,xenon Xe 129 hyperpolarized,"December 8, 2023",Evaluation of lung ventilation in adults and pediatric patients,Xenoview
VTAMA,tapinarof,"December 7, 2023",Treatment of plaque psoriasis,Vtama
OGSIVEO,nirogacestat,"November 27, 2023",To treat adults with progressing desmoid tumors who require systemic treatment,Ogsiveo
OHTUVAYRE,ensifentrine,"June 26, 2024",For the maintenance treatment of chronic obstructive pulmonary disease (COPD) in adult patients.,Ohtuvayre
OJEMDA,tovorafenib,"April 23, 2024",To treat certain types of brain tumors (cancers) called gliomas in patients 6 months and older,Ojemda
OJJAARA,momelotinib,"September 15, 2023",to treat a rare type of bone marrow disorder called myelofibrosis (MF) in adults with anemia,Ojjaara
RYZNEUTA,efbemalenograstim alfa-vuxw,"November 11, 2023",To treat neutropenia,Ryzneuta
TRUQAP,capivasertib,"November 16, 2023",To treat breast cancer that meets certain disease criteria,Truqap
AUGTYRO,repotrectinib,"November 15, 2023",To treat ROS1-positive non-small cell lung cancer,Augtyro
DEFENCATH,"taurolidine, heparin","November 15, 2023",To reduce the incidence of catheter-related bloodstream infections in adults with kidney failure receiving chronic hemodialysis through a central venous catheter.,Defencath
FRUZAQLA,fruquintinib,"November 8, 2023","To treat refractory, metastatic colorectal cancer",Fruzaqla
AGAMREE,vamorolone,"October 26, 2023",Treatment of Duchenne muscular dystrophy,Agamree
BIMZELX,bimekizumab-bkzx,"October 17, 2023",Treatment of moderate to severe plaque psoriasis in adults who are candidates for systemic therapy or phototherapy.,Bimzelx
ZILBRYSQ,zilucoplan,"October 17, 2023",To treat generalized myasthenia gravis in adults who are anti-acetylcholine receptor (AChR) antibody positive,Zilbrysq
VELSIPITY,etrasimod,"October 12, 2023",To treat moderately to severely active ulcerative colitis in adults,Velsipity
RIVFLOZA,nedosiran,"September 29, 2023",To lower urinary oxalate levels in patients 9 years and older with primary hyperoxaluria type 1 and relatively preserved kidney function,Rivfloza
POMBILITI,cipaglucosidase alfa-atga,"September 28, 2023",the treatment of adult patients with late-onset Pompe disease (LOPD),Pombiliti Opfolda
APHEXDA,motixafortide,"Sepetember 8, 2023",To mobilize hematopoietic stem cells to the peripheral blood for collection and subsequent autologous transplantation in patients with multiple myeloma,Aphexda
XENPOZYME,olipudase alfa-rpcp,"August 31, 2023",To treat Acid Sphingomyelinase Deficiency,Xenpozyme
VEOPOZ,pozelimab-bbfg,"August18, 2023","To treat patients 1 year old and older with CD55-deficient protein-losing enteropathy (PLE), also known as CHAPLE disease",Veopoz
SOHONOS,palovarotene,"August 16, 2023",To reduce the volume of new heterotopic ossification in adults and pediatric patients (aged 8 years and older for females and 10 years and older for males) with fibrodysplasia ossificans progressiva,Sohonos
ELREXFIO,elranatamab-bcmm,"August 14, 2023",To treat adults with relapsed or refractory multiple myeloma who have received at least four prior lines of therapy,Elrexfio
ZURZUVAE,zuranolone,"August 4, 2023",To treat postpartum depression,Zurzuvae
VANFLYTA,quizartinib,"July 20, 2023",To use as part of a treatment regimen for newly diagnosed acute myeloid leukemia that meets certain criteria,Vanflyta
BEYFORTUS,nirsevimab,"July 17, 2023",Prevention of respiratory syncytial virus (RSV) lower respiratory tract disease.,Beyfortus
NGENLA,somatrogon-ghla,"June 27, 2023",Treatment of growth failure due to inadequate secretion of endogenous growth hormone,Ngenla
RYSTIGGO,rozanolixizumab-noli,"June 26, 2023",To treat generalized myasthenia gravis in adults who are anti-acetylcholine receptor- or anti-muscle-specific tyrosine kinase antibody-positive,Rystiggo
RYTELO,imetelsta,"June 6, 2024",to treat a condition called low- to intermediate-1 risk myelodysplastic syndromes (MDS) in adults with anemia,Rytelo
COLUMVI,glofitamab-gxbm,"June 15, 2023","Treatment of diffuse large B-cell lymphoma, not otherwise specified, or large B-cell lymphoma arising from follicular lymphoma after two or more lines of systemic therapy",Columvi
INPEFA,sotagliflozin,"May 26, 2023",Treatment of heart failure,Inpefa
PAXLOVID,"nirmatrelvir, ritonavir","May 25, 2023",To treat mild-to-moderate COVID-19 in adults at high risk for progression to severe COVID-19,Paxlovid
POSLUMA,flotufolastat F 18,"May 25, 2023",To detect specific cancer lesions in males with prostate cancer,Posluma
XACDURO,sulbactam for injection; durlobactam for injection,"May 23, 2023",Treatment of hospital-acquired bacterial pneumonia and ventilator-associated bacterial pneumonia caused by susceptible isolates of Acinetobacter baumannii-calcoaceticus complex,Xacduro
VEOZAH,fezolinetant,"May 12, 2023",To treat moderate to severe hot flashes caused by menopause,Veozah
QALSODY,tofersen,"April 25, 2023",Treatment of amyotrophic lateral sclerosis in adults who have a SOD1 gene mutation,Qalsody
EPKINLY,epcoritamab-bysp,"May 19, 2023",To treat relapsed or refractory diffuse large B-cell lymphoma (not otherwise specified) and high-grade B-cell lymphoma after two or more lines of systemic therapy,Epkinly
JOENJA,leniolisib,"March 24, 2023",Treatment of activated phosphoinositide 3-kinase delta syndrome.,Joenja
ZTALMY,ganaxolone,"March 18, 2023",To treat seizures in cyclin-dependent kinase-like 5 deficiency disorder,Ztalmy
DAYBUE,trofinetide,"March 12, 2023",To treat Rett syndrome.,Daybue
ZAVZPRET,zavegepant,"March 9, 2023",To treat migraine,Zavzpret
SKYCLARYS,omaveloxolone,"February 28, 2023",To treat Friedrich’s ataxia,Skyclarys
FILSPARI,sparsentan,"February 17, 2023",To reduce proteinuria in adults with primary immunoglobulin A nephropathy at risk of rapid disease progression,Filspari
JESDUVROQ,daprodustat,"February 1, 2023",Treatment of anemia caused by chronic kidney disease for adults on dialysis for at least four months.,Jesduvroq
JAYPIRCA,pirtobrutinib,"January 27, 2023","To treat relapsed or refractory mantle cell lymphoma in adults who have had at least two lines of systemic therapy, including a BTK inhibitor",Jaypirca
ORSERDU,elacestrant,"January 27, 2023","To treat estrogen receptor-positive, human epidermal growth factor receptor 2-negative, ESR1-mutated, advanced or metastatic breast cancer with disease progression following at least one line of endocrine therapy.",Orserdu
BRENZAVVY ,bexagliflozin,"January 20, 2023",To improve glycemic control in adults with type 2 diabetes mellitus as an adjunct to diet and exercise,Brenzavvy
LEQEMBI,lecanemab-irmb,"January 6, 2023",Treatment of Alzheimer’s disease,Leqembi
LEQSELVI,deuruxolitinib,"July 25, 2024",Indicated for the treatment of adults with severe alopecia areata (AA).,Leqselvi
BRIUMVI,ublituximab-xiiy,"December 28, 2022",To treat relapsing forms of multiple sclerosis,Briumvi
NEXOBRID,anacaulase-bcdb,"December 28, 2022",To remove charred tissue in adults with deep second degree and/or third degree burns from heat sources,Nexobrid
LUNSUMIO,mosunetuzumab-axgb,"December 22, 2022","To treat adults with relapsed or refractory follicular lymphoma, a type of non-Hodgkin lymphoma",Lunsumio
SUNLENCA,lenacapavir,"December 22, 2022","To treat adults with HIV whose HIV infections cannot be successfully treated with other available treatments due to resistance, intolerance, or safety considerations",Sunlenca
KRAZATI,adagrasib,"December 12, 2022",Prescription medicine used to treat adult patients with non-small cell lung cancer,Krazati
REZDIFFRA,resmetirom,"March 14, 2024","To treat adults with nonalcoholic steatohepatitis (NASH) with moderate to advanced liver scarring (fibrosis), but not with cirrhosis of the liver.",Rezdiffra
REZLIDHIA,olutasidenib,"December 1, 2022",Treatment of adults with relapsed or refractory acute myeloid leukemia with a susceptible isocitrate dehydrogenase-1 (IDH1) mutation,Rezlidhia
ELAHERE,mirvetuximab soravtansine-gynx,"November 14, 2022",To treat patients with recurrent ovarian cancer that is resistant to platinum therapy,Elahere
ELFABRIO,pegunigalsidase alfa-iwx,"May 9, 2023",An enzyme replacement therapy that is used for the treatment of Fabry disease in adult patients.,Elfabrio
TECVAYLI ,teclistamab-cqyv,"October 25, 2022",To treat relapsed or refractory multiple myeloma among adults who have received at least four specific lines of therapy,Tecvayli
IMJUDO,tremelimimab-actl,"October 21, 2022",To treat unresectable hepatocellular carcinoma,Imjudo
LYTGOBI,futibatinib,"September 30, 2022",To treat intrahepatic cholangiocarcinoma harboring fibroblast growth factor receptor 2 (FGFR2) gene fusions or other rearrangements,Lytgobi
RELYVRIO,sodium phenylbutyrate and taurursodiol,"September 29, 2022",To treat amyotrophic lateral sclerosis (ALS),Relyvrio
OMLONTI,oomidenepag isopropyl,"September 22, 2022",Reduces elevated intraocular pressure in patients with open‑angle glaucoma or ocular hypertension,Omlonti
ELUCIREM,gadopiclenol,"September 21, 2022","To detect and visualize lesions, together with MRI, with abnormal vascularity in the central nervous system and the body",Elucirem
TERLIVAZ,terlipressin,"September 14, 2022",Treatment to improve kidney function in adults with hepatorenal syndrome (HRS) with rapid reduction in kidney function,Terlivaz
ROLVEDON,eflapegrastim,"September 9, 2022",To decrease the incidence of infection in patients with non-myeloid malignancies receiving myelosuppressive anti-cancer drugs associated with clinically significant incidence of febrile neutropenia,Rolvedon
SOTYKTU,deucravacitinib,"September 9, 2022",To treat moderate-to-severe plaque psoriasis,Sotyktu
DAXXIFY,daxibotulinumtoxin A,"September 7, 2022",To treat moderate-to-severe glabellar lines associated with corrugator and/or procerus muscle activity.,Daxxify
SPEVIGO,spesolimab-sbzo,"September 1, 2022",To treat generalized pustular psoriasis flares,Spevigo
AMVUTTRA,vutrisiran,"June 13, 2022",To treat polyneuropathy of hereditary transthyretin-mediated amyloidosis,Amvuttra
MOUNJARO,tirzepatide,"May 13, 2022","To improve blood sugar control in diabetes, in addition to diet and exercise",Mounjaro
VOQUEZNA,"vonoprazan fumarate, amoxicillin","May 3, 2022",Treatment of Helicobacter pylori infection,Voquezna
CAMZYOS,mavacamten,"April 28, 2022",To treat certain classes of obstructive hypertrophic cardiomyopathy,Camzyos
VIVJOA,oteseconazole,"April 26, 2022",To reduce the incidence of recurrent vulvovaginal candidiasis (RVVC) in females with a history of RVVC who are not of reproductive potential,Vivjoa
PLUVICTO,lutetium Lu 177 vipivotide tetraxetan,"March 23, 2022",To treat prostate-specific membrane antigen-positive metastatic castration-resistant prostate cancer following other therapies,Pluvicto
OPDUALAG,nivolumab and relatlimab-rmbw,"March 18, 2022",Treatment of adults and pediatric patients 12 years of age or older with a type of skin cancer called melanoma that cannot be removed by surgery (unresectable) or has spread to other parts of the body (metastatic).,Opdualag
PYRUKYND,mitapivat,"February 17, 2022",Treatment of hemolytic anemia in adults with pyruvate kinase (PK) deficiency,Pyrukynd
ENJAYMO,sutimlimab-jome,"February 4, 2022",To decrease the need for red blood cell transfusion due to hemolysis in cold agglutinin disease,Enjaymo
VABYSMO,faricimab-svoa,"January 28, 2022",To treat neovascular (wet) aged-related macular degeneration and diabetic macular edema,Vabysmo
KIMMTRAK,tebentafusp,"January 25, 2022",To treat unresectable or metastatic uveal melanoma,Kimmtrak
CIBINQO,abrocitinib,"January 14, 2022","Treatment of adults with refractory, moderate-to-severe atopic dermatitis",Cibinqo
QUVIVIQ,daridorexant,"January 7, 2022","Treatment of adult patients with insomnia, characterized by difficulties with sleep onset and/or sleep maintenance.",Quvivq
ADBRY,tralokinumab-ldrm,"December 27, 2021",To treat moderate-to-severe atopic dermatitis,Adbry
LEQVIO,inclisiran,"December 22, 2021",To treat heterozygous familial hypercholesterolemia or clinical atherosclerotic cardiovascular disease as an add-on therapy,Leqvio
TEZSPIRE,Tezepelumab,"December 17, 2021",To treat severe asthma as an add-on maintenance therapy,Tezspire
VYVGART,Vyvgart alfa-fcab,"December 17, 2021",For the treatment of generalized myasthenia gravis (gMG) in adult patients,Vyvgart
LIVTENCITY,maribavir,"November 23, 2021",To treat post-transplant cytomegalovirus (CMV) infection/disease that does not respond (with or without genetic mutations that cause resistance) to available antiviral treatment for CMV,Livtencity
VOXZOGO,vosoritide,"November 20, 2021",To improve growth in children five years of age and older with achondroplasia and open epiphyses,Voxzogo
CYTALUX ,pafolacianine,"November 19, 2021",To help identify ovarian cancer lesions,Cytalux
BESREMi ,ropeginterferon alfa-2b-njft,"November 12, 2021","To treat polycythemia vera, a blood disease that causes the overproduction of red blood cells",Besremi
SCEMBLIX,asciminib,"October 29, 2021",To treat Philadelphia chromosome-positive chronic myeloid leukemia with disease that meets certain criteria,Scemblix
TAVNEOS,avacopan,"October 7, 2021",Treatment of adults with severe active anti-neutrophil cytoplasmic autoantibody (ANCA)-associated vasculitis,Tavneos
LIVDELZI,seladelpar,"August 14, 2024",To treat primary biliary cholangitis (PBC) in combination with ursodeoxycholic acid (UDCA) in adults who have an inadequate response to UDCA or as monotherapy in patients unable to tolerate UDCA.,Livdelzi
LIVMARLI,maralixibat chloride,"September 29, 2021",To treat cholestatic pruritus associated with Alagille syndrome,Livmarli
QULIPTA,atogepant,"September 28, 2021",To prevent episodic migraines,Qulipta
TIVDAK,tisotumab vedotin-tftv,"September 20, 2021",To treat recurrent or metastatic cervical cancer with disease progression on or after chemotherapy,Tivdak
EXKIVITY,mobocertinib,"September 15, 2021",Treatment of adult patients with a type of lung cancer (non-small cell lung cancer or NSCLC),Exkivity
SKYTROFA,lonapegsomatropin-tcgd,"August 25, 2021",treatment of children 1 year and older who weigh at least 11.5 kilograms and are not growing because they have growth hormone deficiency (GHD),Skytrofa
KORSUVA,Difelikefalin,"August 23, 2021",To treat moderate-to-severe pruritus associated with chronic kidney disease in certain populations,Korsuva
WELIREG,belzutifan,"August 13, 2021",Treatment of von Hippel-Lindau disease under certain conditions,Welireg
NEXVIAZYME,avalglucosidase alfa-ngpt,"August 6, 2021",Treatment of patients 1 year of age and older with late-onset Pompe disease (LOPD),Nexviazyme
SAPHNELO,anifrolumab-fnia,"July 30, 2021",To treat moderate-to severe systemic lupus erythematousus along with standard therapy,Saphnelo
BYLVAY,odevixibat,"July 20, 2021",Treatment of pruritus.,Bylvay
FEXINIDAZOLE, ,"July 16, 2021",To treat human African trypanosomiasis caused by the parasite Trypanosoma brucei gambiense,Fexinidazole
REZUROCK,belumosudil,"July 16, 2021",To treat chronic graft-versus-host disease after failure of at least two prior lines of systemic therapy,Rezurock
REZZAYO,rezafungin for injection,"March 22, 2023",To treat candidemia and invasive candidiasis,Rezzayo
KERENDIA,finerenone,"July 9, 2021",Treatment of adults with chronic kidney disease (CKD) associated with type 2 diabetes (T2D),Kerendia
ADUHELM,Aducanumab,"July 7, 2021",To treat Alzheimer’s disease,Aduhelm
RYLAZE,asparaginase erwinia chrysanthemi (recombinant)-rywn,"June 30, 2021","To treat acute lymphoblastic leukemia and lymphoblastic lymphoma in patients who are allergic to E. coli-derived asparaginase products, as a component of a chemotherapy regimen",Rylaze
BREXAFEMME,ibrexafungerp,"June 1, 2021",To treat vulvovaginal candidiasis,Brexafemme
LUMAKRAS,Sotorasib,"May 28, 2021",For the treatment of adult patients with non-small cell lung cancer (NSCLC) that is locally advanced or has spread to other parts of the body (metastatic),Lumakras
LYBALVI,olanzapine and samidorphan,"May 28, 2021",For the treatment of schizophrenia and certain aspects of bipolar I disorder,Lybalvi
TRUSELTIQ,infigratinib,"May 28, 2021",To treat cholangiocarcinoma whose disease meets certain criteria,Truseltiq
PYLARIFY,piflufolastat F 18,"May 26, 2021",To identify prostate-specific membrane antigen-positive lesions in prostate cancer,Pylarify
RYBREVANT,amivantamab-vmjw,"May 21, 2021",Treatment of adults with non-small cell lung cancer (NSCLC).,Rybrevant
